340B ID,CE ID,Entity Type,Grant Number,Participating,Participation Start Date,Termination Date,Entity Name,Entity Sub-Division Name,Pharmacy Name,City,State,Zip,Contract ID,Pharmacy ID,Medicaid Billing,Carve-In Effective Date
CAH241378-00,20206,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,,ALLINA HEALTH FARIBAULT PHARMACY,FARIBAULT,MN,55021.0,313507.0,95831.0,Yes,2024-04-01
CAH241378-00,20206,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,,ALLINA HEALTH UNITED PHARMACY,SAINT PAUL,MN,55102.0,313485.0,8226.0,Yes,2024-04-01
CAH241378-00,20206,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,,ALLINA HEALTH NEW ULM PHARMACY,NEW ULM,MN,56073.0,58161.0,90896.0,Yes,2024-01-01
CAH241378-00,20206,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,,ALLINA HEALTH PIPER BUILDING PHARMACY,MINNEAPOLIS,MN,55404.0,313511.0,57433.0,Yes,2024-04-01
CAH241378-00,20206,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,,ALLINA HEALTH WOODBURY PHARMACY,WOODBURY,MN,55125.0,313493.0,57243.0,Yes,2024-04-01
CAH241378-00,20206,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,,ALLINA HEALTH CAMBRIDGE PHARMACY,CAMBRIDGE,MN,55008.0,313501.0,57036.0,Yes,2024-04-01
CAH241378-00,20206,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,,ALLINA HEALTH HEART HOSPITAL PHARMACY,MINNEAPOLIS,MN,55407.0,138494.0,57452.0,Yes,2024-01-01
CAH241378-00,20206,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,,ALLINA HEALTH UNITY  PHARMACY,FRIDLEY,MN,55432.0,313518.0,57545.0,Yes,2024-04-01
CAH241378-00,20206,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,,ALLINA HEALTH COTTAGE GROVE PHARMACY,COTTAGE GROVE,MN,55016.0,313490.0,57047.0,Yes,2024-04-01
CAH241378-00,20206,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,,ALLINA HEALTH APPLE VALLEY PHARMACY,APPLE VALLEY,MN,55124.0,313502.0,57224.0,Yes,2024-04-01
CAH241378-00,20206,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,,ALLINA HEALTH MERCY PHARMACY,COON RAPIDS,MN,55433.0,313483.0,57552.0,Yes,2024-04-01
CAH241378-00,20206,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,,ALLINA HEALTH ST. FRANCIS PHARMACY,SHAKOPEE,MN,55379.0,313476.0,107468.0,Yes,2024-04-01
CAH241378-01,20238,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,NEW ULM MEDICAL CENTER- CLINIC,ALLINA HEALTH FARIBAULT PHARMACY,FARIBAULT,MN,55021.0,340426.0,95831.0,Yes,2024-04-01
CAH241378-01,20238,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,NEW ULM MEDICAL CENTER- CLINIC,ALLINA HEALTH NEW ULM PHARMACY,NEW ULM,MN,56073.0,58273.0,90896.0,Yes,2024-01-01
CAH241378-01,20238,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,NEW ULM MEDICAL CENTER- CLINIC,ALLINA HEALTH UNITED PHARMACY,SAINT PAUL,MN,55102.0,340437.0,8226.0,Yes,2024-04-01
CAH241378-01,20238,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,NEW ULM MEDICAL CENTER- CLINIC,ALLINA HEALTH UNITY  PHARMACY,FRIDLEY,MN,55432.0,340432.0,57545.0,Yes,2024-04-01
CAH241378-01,20238,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,NEW ULM MEDICAL CENTER- CLINIC,ALLINA HEALTH COTTAGE GROVE PHARMACY,COTTAGE GROVE,MN,55016.0,340456.0,57047.0,Yes,2024-04-01
CAH241378-01,20238,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,NEW ULM MEDICAL CENTER- CLINIC,ALLINA HEALTH HEART HOSPITAL PHARMACY,MINNEAPOLIS,MN,55407.0,138496.0,57452.0,Yes,2024-01-01
CAH241378-01,20238,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,NEW ULM MEDICAL CENTER- CLINIC,ALLINA HEALTH MERCY PHARMACY,COON RAPIDS,MN,55433.0,340447.0,57552.0,Yes,2024-04-01
CAH241378-01,20238,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,NEW ULM MEDICAL CENTER- CLINIC,ALLINA HEALTH APPLE VALLEY PHARMACY,APPLE VALLEY,MN,55124.0,340466.0,57224.0,Yes,2024-04-01
CAH241378-01,20238,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,NEW ULM MEDICAL CENTER- CLINIC,ALLINA HEALTH PIPER BUILDING PHARMACY,MINNEAPOLIS,MN,55404.0,340412.0,57433.0,Yes,2024-04-01
CAH241378-01,20238,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,NEW ULM MEDICAL CENTER- CLINIC,ALLINA HEALTH WOODBURY PHARMACY,WOODBURY,MN,55125.0,340461.0,57243.0,Yes,2024-04-01
CAH241378-01,20238,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,NEW ULM MEDICAL CENTER- CLINIC,ALLINA HEALTH CAMBRIDGE PHARMACY,CAMBRIDGE,MN,55008.0,340421.0,57036.0,Yes,2024-04-01
CAH241378-01,20238,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,NEW ULM MEDICAL CENTER- CLINIC,ALLINA HEALTH ST. FRANCIS PHARMACY,SHAKOPEE,MN,55379.0,340442.0,107468.0,Yes,2024-04-01
CAH241378-02,20276,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,WINTHROP AREA CLINIC,ALLINA HEALTH FARIBAULT PHARMACY,FARIBAULT,MN,55021.0,340427.0,95831.0,Yes,2024-04-01
CAH241378-02,20276,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,WINTHROP AREA CLINIC,ALLINA HEALTH NEW ULM PHARMACY,NEW ULM,MN,56073.0,58380.0,90896.0,Yes,2024-01-01
CAH241378-02,20276,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,WINTHROP AREA CLINIC,ALLINA HEALTH UNITED PHARMACY,SAINT PAUL,MN,55102.0,340438.0,8226.0,Yes,2024-04-01
CAH241378-02,20276,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,WINTHROP AREA CLINIC,ALLINA HEALTH COTTAGE GROVE PHARMACY,COTTAGE GROVE,MN,55016.0,340455.0,57047.0,Yes,2024-04-01
CAH241378-02,20276,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,WINTHROP AREA CLINIC,ALLINA HEALTH APPLE VALLEY PHARMACY,APPLE VALLEY,MN,55124.0,340465.0,57224.0,Yes,2024-04-01
CAH241378-02,20276,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,WINTHROP AREA CLINIC,ALLINA HEALTH WOODBURY PHARMACY,WOODBURY,MN,55125.0,340460.0,57243.0,Yes,2024-04-01
CAH241378-02,20276,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,WINTHROP AREA CLINIC,ALLINA HEALTH CAMBRIDGE PHARMACY,CAMBRIDGE,MN,55008.0,340422.0,57036.0,Yes,2024-04-01
CAH241378-02,20276,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,WINTHROP AREA CLINIC,ALLINA HEALTH PIPER BUILDING PHARMACY,MINNEAPOLIS,MN,55404.0,340413.0,57433.0,Yes,2024-04-01
CAH241378-02,20276,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,WINTHROP AREA CLINIC,ALLINA HEALTH MERCY PHARMACY,COON RAPIDS,MN,55433.0,340448.0,57552.0,Yes,2024-04-01
CAH241378-02,20276,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,WINTHROP AREA CLINIC,ALLINA HEALTH HEART HOSPITAL PHARMACY,MINNEAPOLIS,MN,55407.0,138495.0,57452.0,Yes,2024-01-01
CAH241378-02,20276,CAH,,True,2010-08-06,,NEW ULM MEDICAL CENTER,WINTHROP AREA CLINIC,ALLINA HEALTH UNITY  PHARMACY,FRIDLEY,MN,55432.0,340433.0,57545.0,Yes,2024-04-01
