CE ID,Entity Name,Entity Type,State,num_pharmacies,pharmacy_names
399,SYRACUSE COMMUNITY HEALTH CENTER INC,CH,NY,14,"CVS ALBANY, L.L.C.; ONCOMED THE ONCOLOGY PHARMACY OF BUFFALO; SINA DRUG LLC; SORKIN'S RX LTD; STATE UNIVERSITY OF NEW YORK; SYRACUSE COMMUNITY HEALTH PHARMACY LLC; TRILLIUM HEALTH, INC.; WESTSIDE FAMILY PHARMACY LLC"
96451,ABBOTT NORTHWESTERN HOSPITAL,DSH,MN,13,ALLINA HEALTH APPLE VALLEY PHARMACY; ALLINA HEALTH CAMBRIDGE PHARMACY; ALLINA HEALTH COTTAGE GROVE PHARMACY; ALLINA HEALTH FARIBAULT PHARMACY; ALLINA HEALTH HEART HOSPITAL PHARMACY; ALLINA HEALTH MERCY PHARMACY; ALLINA HEALTH NEW ULM PHARMACY; ALLINA HEALTH PIPER BUILDING PHARMACY; ALLINA HEALTH ST. FRANCIS PHARMACY; ALLINA HEALTH UNITED PHARMACY; ALLINA HEALTH UNITY  PHARMACY; ALLINA HEALTH WESTHEALTH PHARMACY; ALLINA HEALTH WOODBURY PHARMACY
44158,ABBOTT NORTHWESTERN HOSPITAL,DSH,MN,13,ALLINA HEALTH APPLE VALLEY PHARMACY; ALLINA HEALTH CAMBRIDGE PHARMACY; ALLINA HEALTH COTTAGE GROVE PHARMACY; ALLINA HEALTH FARIBAULT PHARMACY; ALLINA HEALTH HEART HOSPITAL PHARMACY; ALLINA HEALTH MERCY PHARMACY; ALLINA HEALTH NEW ULM PHARMACY; ALLINA HEALTH PIPER BUILDING PHARMACY; ALLINA HEALTH ST. FRANCIS PHARMACY; ALLINA HEALTH UNITED PHARMACY; ALLINA HEALTH UNITY  PHARMACY; ALLINA HEALTH WESTHEALTH PHARMACY; ALLINA HEALTH WOODBURY PHARMACY
44155,ABBOTT NORTHWESTERN HOSPITAL,DSH,MN,13,ALLINA HEALTH APPLE VALLEY PHARMACY; ALLINA HEALTH CAMBRIDGE PHARMACY; ALLINA HEALTH COTTAGE GROVE PHARMACY; ALLINA HEALTH FARIBAULT PHARMACY; ALLINA HEALTH HEART HOSPITAL PHARMACY; ALLINA HEALTH MERCY PHARMACY; ALLINA HEALTH NEW ULM PHARMACY; ALLINA HEALTH PIPER BUILDING PHARMACY; ALLINA HEALTH ST. FRANCIS PHARMACY; ALLINA HEALTH UNITED PHARMACY; ALLINA HEALTH UNITY  PHARMACY; ALLINA HEALTH WESTHEALTH PHARMACY; ALLINA HEALTH WOODBURY PHARMACY
43878,ABBOTT NORTHWESTERN HOSPITAL,DSH,MN,13,ALLINA HEALTH APPLE VALLEY PHARMACY; ALLINA HEALTH CAMBRIDGE PHARMACY; ALLINA HEALTH COTTAGE GROVE PHARMACY; ALLINA HEALTH FARIBAULT PHARMACY; ALLINA HEALTH HEART HOSPITAL PHARMACY; ALLINA HEALTH MERCY PHARMACY; ALLINA HEALTH NEW ULM PHARMACY; ALLINA HEALTH PIPER BUILDING PHARMACY; ALLINA HEALTH ST. FRANCIS PHARMACY; ALLINA HEALTH UNITED PHARMACY; ALLINA HEALTH UNITY  PHARMACY; ALLINA HEALTH WESTHEALTH PHARMACY; ALLINA HEALTH WOODBURY PHARMACY
44160,ABBOTT NORTHWESTERN HOSPITAL,DSH,MN,13,ALLINA HEALTH APPLE VALLEY PHARMACY; ALLINA HEALTH CAMBRIDGE PHARMACY; ALLINA HEALTH COTTAGE GROVE PHARMACY; ALLINA HEALTH FARIBAULT PHARMACY; ALLINA HEALTH HEART HOSPITAL PHARMACY; ALLINA HEALTH MERCY PHARMACY; ALLINA HEALTH NEW ULM PHARMACY; ALLINA HEALTH PIPER BUILDING PHARMACY; ALLINA HEALTH ST. FRANCIS PHARMACY; ALLINA HEALTH UNITED PHARMACY; ALLINA HEALTH UNITY  PHARMACY; ALLINA HEALTH WESTHEALTH PHARMACY; ALLINA HEALTH WOODBURY PHARMACY
44161,ABBOTT NORTHWESTERN HOSPITAL,DSH,MN,13,ALLINA HEALTH APPLE VALLEY PHARMACY; ALLINA HEALTH CAMBRIDGE PHARMACY; ALLINA HEALTH COTTAGE GROVE PHARMACY; ALLINA HEALTH FARIBAULT PHARMACY; ALLINA HEALTH HEART HOSPITAL PHARMACY; ALLINA HEALTH MERCY PHARMACY; ALLINA HEALTH NEW ULM PHARMACY; ALLINA HEALTH PIPER BUILDING PHARMACY; ALLINA HEALTH ST. FRANCIS PHARMACY; ALLINA HEALTH UNITED PHARMACY; ALLINA HEALTH UNITY  PHARMACY; ALLINA HEALTH WESTHEALTH PHARMACY; ALLINA HEALTH WOODBURY PHARMACY
44157,ABBOTT NORTHWESTERN HOSPITAL,DSH,MN,13,ALLINA HEALTH APPLE VALLEY PHARMACY; ALLINA HEALTH CAMBRIDGE PHARMACY; ALLINA HEALTH COTTAGE GROVE PHARMACY; ALLINA HEALTH FARIBAULT PHARMACY; ALLINA HEALTH HEART HOSPITAL PHARMACY; ALLINA HEALTH MERCY PHARMACY; ALLINA HEALTH NEW ULM PHARMACY; ALLINA HEALTH PIPER BUILDING PHARMACY; ALLINA HEALTH ST. FRANCIS PHARMACY; ALLINA HEALTH UNITED PHARMACY; ALLINA HEALTH UNITY  PHARMACY; ALLINA HEALTH WESTHEALTH PHARMACY; ALLINA HEALTH WOODBURY PHARMACY
85774,Allina Health Faribault Medical Center,DSH,MN,13,ALLINA HEALTH APPLE VALLEY PHARMACY; ALLINA HEALTH CAMBRIDGE PHARMACY; ALLINA HEALTH COTTAGE GROVE PHARMACY; ALLINA HEALTH FARIBAULT PHARMACY; ALLINA HEALTH HEART HOSPITAL PHARMACY; ALLINA HEALTH MERCY PHARMACY; ALLINA HEALTH NEW ULM PHARMACY; ALLINA HEALTH PIPER BUILDING PHARMACY; ALLINA HEALTH ST. FRANCIS PHARMACY; ALLINA HEALTH UNITED PHARMACY; ALLINA HEALTH UNITY  PHARMACY; ALLINA HEALTH WESTHEALTH PHARMACY; ALLINA HEALTH WOODBURY PHARMACY
85532,ABBOTT NORTHWESTERN HOSPITAL,DSH,MN,13,ALLINA HEALTH APPLE VALLEY PHARMACY; ALLINA HEALTH CAMBRIDGE PHARMACY; ALLINA HEALTH COTTAGE GROVE PHARMACY; ALLINA HEALTH FARIBAULT PHARMACY; ALLINA HEALTH HEART HOSPITAL PHARMACY; ALLINA HEALTH MERCY PHARMACY; ALLINA HEALTH NEW ULM PHARMACY; ALLINA HEALTH PIPER BUILDING PHARMACY; ALLINA HEALTH ST. FRANCIS PHARMACY; ALLINA HEALTH UNITED PHARMACY; ALLINA HEALTH UNITY  PHARMACY; ALLINA HEALTH WESTHEALTH PHARMACY; ALLINA HEALTH WOODBURY PHARMACY
