Product Name,AZ,CA,FL,IL,KY,MA,MN,NC,ND,NY,TX,Total
BIKTARVY  ,85288646.07000001,412922974.47,137063511.65,153477236.91,16910458.5,0.0,23154999.71,58201869.54,0.0,577056183.9300001,0.0,1464075880.7800002
HUMIRA(CF),96733341.74,0.0,189852650.16,0.0,92735727.35,131186274.78,103826180.64999999,165182461.35999998,7630329.970000001,398751813.26,116571526.59,1302470305.86
TRULICITY ,67926428.92999999,283925976.11,68382782.97,199110173.38,24918870.56,140898945.9,4127475.01,46634358.7,494739.59,235411683.37,51627932.37,1123459366.8899999
JARDIANCE ,30388026.35,375781013.6,38515423.07,119584415.62,37505416.08,42285838.75,15695085.129999999,28486032.25,3030578.59,174851306.77,37466732.63,903589868.8400002
INVEGA SUS,73770231.68,260970253.42,50479227.629999995,49930506.78,11352374.22,22084326.86,19546535.64,48224768.14,2461801.27,106621969.31,90200222.85,735642217.8000001
HUMIRA PEN,6448169.05,354566091.5,10317566.58,180141101.36999997,9727596.63,12944431.870000001,8408528.78,5810182.8,1888338.7,34312984.35,9326552.51,633891544.14
OZEMPIC   ,2560179.88,0.0,29451111.19,0.0,136603781.63,0.0,6780342.71,59723562.269999996,0.0,342214741.5,0.0,577333719.1800001
SYMBICORT ,13103596.370000001,39645841.86,45346088.56,78372400.17,28940326.06,28781874.43,14244514.31,27207688.82,1590089.92,119392687.1,34871544.22,431496651.82000005
ELIQUIS   ,26748153.2,131565819.3,43109807.31,47642612.76,10290832.51,0.0,10790426.06,24210973.93,0.0,122000228.41,0.0,416358853.48
STELARA   ,21595317.810000002,0.0,61396134.5,0.0,25073274.130000003,0.0,44639437.17,51129023.81,0.0,166527886.43,0.0,370361073.85
