State,Entity Type,count
AK,CAH,13
AK,CH,23
AK,DSH,11
AK,FP,1
AK,FQHC638,2
AK,HM,1
AK,RWIID,1
AK,SCH,17
AK,STD,24
AK,TB,27
AL,CAH,18
AL,CH,180
AL,DSH,162
AL,FP,86
AL,FQHCLA,10
AL,HV,7
AL,PED,19
AL,RRC,74
AL,RW4,4
AL,RWII,12
AL,RWIID,1
AL,RWIIR,1
AL,SCH,5
AL,STD,125
AL,TB,73
AR,CAH,73
AR,CH,259
AR,DSH,196
AR,FP,95
AR,HM,1
AR,PED,9
AR,RRC,37
AR,RWIID,1
AR,RWIIR,1
AR,SCH,7
AR,STD,7
AR,TB,1
AS,CH,7
AS,FP,1
AS,RWII,1
AS,STD,1
AS,TB,1
AZ,CAH,39
AZ,CH,218
AZ,DSH,361
AZ,FP,10
AZ,FQHC638,12
AZ,HM,2
AZ,HV,3
AZ,PED,122
AZ,RRC,3
AZ,RWI,3
AZ,RWII,2
AZ,RWIID,1
AZ,RWIIR,1
AZ,SCH,11
AZ,STD,77
AZ,TB,20
AZ,UI,4
CA,CAH,118
CA,CAN,45
CA,CH,1915
CA,DSH,1919
CA,FP,48
CA,FQHC638,93
CA,FQHCLA,110
CA,HM,14
CA,HV,17
CA,PED,169
CA,RRC,53
CA,RW4,1
CA,RWI,56
CA,RWII,12
CA,RWIIR,1
CA,SCH,6
CA,STD,264
CA,TB,47
CA,UI,14
CO,CAH,85
CO,CH,232
CO,DSH,330
CO,FP,36
CO,FQHC638,1
CO,FQHCLA,5
CO,HM,1
CO,HV,1
CO,PED,162
CO,RRC,7
CO,RWI,2
CO,RWII,6
CO,RWIID,1
CO,RWIIR,1
CO,SCH,11
CO,STD,46
CO,TB,1
CO,UI,1
CT,CH,333
CT,DSH,710
CT,FP,18
CT,FQHC638,1
CT,FQHCLA,14
CT,HM,5
CT,HV,4
CT,PED,10
CT,RRC,3
CT,RW4,1
CT,RWI,13
CT,RWII,7
CT,RWIIR,1
CT,STD,27
DC,CH,41
DC,DSH,14
DC,FP,15
DC,HM,2
DC,HV,3
DC,PED,10
DC,RWI,8
DC,RWIID,1
DC,RWIIR,1
DC,STD,7
DC,TB,1
DE,CH,12
DE,DSH,53
DE,FP,47
DE,HM,1
DE,HV,3
DE,PED,1
DE,RWII,3
DE,RWIIR,2
DE,STD,42
DE,TB,1
FL,CAH,22
FL,CAN,117
FL,CH,520
FL,DSH,1259
FL,FP,133
FL,FQHC638,6
