Product Name,medicaid_spend,total_rxs,states,medicaid_spend_M
BIKTARVY  ,1464075880.78,365062.0,8,1464.07588078
HUMIRA(CF),1302470305.86,145247.0,9,1302.4703058599998
TRULICITY ,1123459366.89,1070580.0,11,1123.4593668900002
JARDIANCE ,903589868.84,1062515.0,11,903.58986884
INVEGA SUS,735642217.8,277819.0,11,735.6422177999999
HUMIRA PEN,633891544.14,74680.0,11,633.89154414
OZEMPIC   ,577333719.18,566163.0,6,577.33371918
SYMBICORT ,431496651.82,1083746.0,11,431.49665182
ELIQUIS   ,416358853.48,677139.0,8,416.35885348
STELARA   ,370361073.85,16436.0,6,370.36107385
TRIKAFTA  ,365487304.92,15264.0,7,365.48730492000004
ABILIFY MA,357188339.0,146202.0,11,357.188339
COSENTYX S,335898602.94,40962.0,11,335.89860294
DUPIXENT S,329496751.42,91444.0,8,329.49675142
OZEMPIC 0.,293657512.65999997,301156.0,5,293.65751265999995
STELARA 90,283181696.67,11260.0,5,283.18169667
VYVANSE   ,277200080.05,807571.0,6,277.20008005
FLOVENT HF,272161768.90999997,1049889.0,11,272.16176891
DUPIXENT P,268831990.72,75219.0,8,268.83199072
GENVOYA   ,239205005.64,58861.0,8,239.20500564
EPIDIOLEX ,228257675.68,73464.0,11,228.25767568
VRAYLAR   ,223797917.55,163436.0,6,223.79791755000002
LANTUS SOL,214071581.7,472809.0,11,214.0715817
ALBUTEROL ,209705946.93,7080250.0,11,209.70594693
SKYRIZI 15,207931669.79,10867.0,5,207.93166979
NURTEC ODT,195367287.75,163119.0,11,195.36728775
INVEGA TRI,195266614.29,24895.0,11,195.26661428999998
SYMTUZA   ,180370078.84,38026.0,8,180.37007884
KEYTRUDA 1,178454987.39,22009.0,5,178.45498738999999
ADDERALL X,177941488.51,820793.0,11,177.94148851
OZEMPIC 1M,173983555.69,164838.0,2,173.98355569
ENBREL SUR,169816394.70000002,25054.0,6,169.81639470000002
FLUTICASON,168751147.69,5678372.0,11,168.75114769
VENTOLIN H,168340437.87,2646903.0,11,168.34043787000002
ENBREL  ET,167933079.02,23689.0,1,167.93307902
JANUVIA 10,164594466.95,196244.0,5,164.59446695
SOFOSBUVIR,163824649.76,20859.0,11,163.82464976
FARXIGA   ,163233929.3,228789.0,6,163.2339293
TRELEGY EL,163124573.8,244351.0,11,163.1245738
HEMLIBRA  ,160904674.08,6004.0,6,160.90467408
SUBOXONE  ,160895955.11,422456.0,6,160.89595511000002
HEMLIBRA -,160578515.73,5044.0,2,160.57851573
DUPIXENT 3,156441651.2,44340.0,5,156.4416512
DESCOVY 20,155838181.62,60886.0,5,155.83818162
NORDITROPI,154036876.0,30971.0,11,154.036876
ADVAIR DIS,152108721.44,338586.0,8,152.10872144
CONCERTA  ,151353948.75,378900.0,6,151.35394875
JANUVIA   ,148080645.92,214718.0,6,148.08064592
SUBLOCADE ,145916460.85,79983.0,11,145.91646085
DESCOVY   ,141699868.82,63927.0,6,141.69986882
FOCALIN XR,141346610.67,347899.0,11,141.34661067
HUMALOG KW,141253469.31,205356.0,8,141.25346931
FARXIGA 10,136945635.86,174881.0,5,136.94563586
LATUDA    ,127305796.53999999,90818.0,6,127.30579653999999
BIKTARVY 5,125435941.63000001,34114.0,3,125.43594163000002
KEYTRUDA  ,125273387.28999999,16806.0,6,125.27338728999999
